আহ্‌ বলতে পাই স্বদেশের মুখ নির্মল আলোর মায়াবী  
তোমার গাভী শিশুদের মুখে ফুটবে মোর গর্বিত হাসি  
মায়ের আলতো স্পর্শে জেগে ওঠে হৃদয়ের অমল নির্মলতা  
কোলের লতায় বোনা থাকে জাতির শত বছরের গল্প  
মায়ের চোখে ঝরে পড়বে মুক্তির অমল নবীন অশ্রুজল  
মায়ের কণ্ঠে ঝংকার হবে দেশের অমল উজ্জ্বল মন্ত্র  
ফিরে যাবো মায়ের অঙ্গনে খুঁজে পাবো জাতির কেন্দ্র  
মায়ের বুকে বোনা আছে মুক্তির পৃথিবী অমায়িক বিশাল  
মা-মাটির মমতায় জাগে জীবনের অমল নতুন স্পন্দন নিরবধি  
মাতৃভূমির মমতা পায় হাজার বছরের অমলিত উৎসব বিনীতা  

বিভিন্ন ভাষা বর্ণ ধর্ম মিলেমিশে গঠিয়াছে অবিচ্ছিন্ন দেশ  
নানা আচার-অনুষ্ঠানে ভেসে ওঠে উম্মাদ প্রেমের বাঁশি সুর  
গাথায় লেখা আছে ঐক্যের অটল অমল দ্যুতি ইতিহাস  
নদী-পাতার নীড় থেকে বাজে নবীন সুরের অটল উদ্দীপনা  
পল্লী বসতিতে জাগে বন্ধুত্বের অমায়িক সরল জোয়ার হাসি  
শহরের রুমহূল্যে ফুটে ওঠে নতুন সাহসী অমল স্বপ্ন  
ছোট-বড় তরুণ-বৃদ্ধ মিলেমিশে গায় বন্দনায় অটল সুরেলা ডাকে  
সবাই মিলে দেশ গড়ে তুলব সম্মিলিত দৃঢ়তায় অপরাজেয়  
বৈচিত্রের মাঝে জ্বলে একাত্মতার অমোঘ দ্যুতি দীপ প্রদীপ্ত  
দূর হবে বিভাজন জাগবে অমল মধুর অটল সম্প্রীতি  

উঠো জাতীয় চেতনাকে রাঙাও করুণ ঢেউ ভাসাও অমল  
কাঁধে কাঁধ মিলিয়ে এগিয়ে চলো অটল বিজয়ের পথে  
থাকুক অমল চেতনা থাকুক আত্মার অদম্য নবীন জয়  
শ্লোগানে তুলবে উদ্দীপিত জনতা সজীব এবং অদম্য তেজী  
কর্মক্ষেত্রে দীপ্ত হয়ে জাগবে অদম্য অমল নবীন প্রচেষ্টা  
জেগে ওঠো তোমরা দেশবাসী হউ একসঙ্গে অমল সংকল্পে  
অটল সংকল্পে বাধা অতিক্রম করবে আমরা নিশ্চিত অমল  
নতুন সূর্যোদয়ে করব দেশকে গৌরবিত অমল দ্যুতি উজ্জ্বলে  
পথে পথে হবে গাথা অমল অমোঘ দেশপ্রেমের জয়গাথা  
বীরের মতো দাঁড়িয়ে থাকবে জনতা সংঘবদ্ধ অদম্য উৎসবে  

প্রতিজ্ঞা করি অমল চেতনায় থাকবে আমাদের উজ্জ্বল দেশ  
দিন বদলাবে কিন্তু চেতনাবোধ থাকবে অটল অমল নবীন  
রাতের অন্ধকারে জাগাবো অদম্য আলো দ্যুতি সর্বত্র ছড়াবো  
সব ঝড়-বৃষ্টি সঙ্গী হবে অটল অমল নবীণ আত্মবিশ্বাস  
জীবনদানে উৎসর্গ করব মাটি-মাটির অমল মহানতা করেই নিশ্চিত  
ঝরে থাকবে বোধের অমল বৃন্ত থেকে বৃন্ত হারিয়ে  
জয়গাথা রচিত হবে বাঙালীর অমল হৃদয়ে চিরস্মরণীয় নবীন  
আকাশ জুড়ে থাকবে তিরঙ্গার অমল বিন্দু বিন্দু দ্যুতি  
দেশের চরণে পড়বে হাজারো শ্রদ্ধার অমল ফুল সাজিয়ে  
ভালোবাসার অনন্য নিদর্শন হয়ে থাকবে অমল মধুর স্মৃতি
