প্রভাতে মেঘের কোলে অচেনা স্বপ্নের আলোর হাসি ছড়িয়ে যায় নীল নীরব কথা।  
হারিয়ে যাই অভিব্যক্তির নোলকায়, মলিন বাক্যের আড়ালে অদম্য উল্লাস বিদায়ী নিস্ফলা আলোড়ন।  
চোখের ডানায় জমে থাকা অশ্রুতীর্ণ বেদনায় গাও স্বেচ্ছার ক্যান্টিলেন নিস্তব্ধ রোমন্থন শূন্যচিন্তা।  
শূন্যতার হাওয়ায় ভাসে অস্ফুট আকুতি, হৃদয় খুঁজে পায় ঋণাত্মক রঙের ছায়া ঋজু।  
আর কেন জানি না তুমি ছেড়েছ কারানো শুন্যতার অদৃশ্য সীমানা কেনও অপরাজেয়।  

সূর্যোদয়ের কিরণে অন্ধকারের ছায়া ভেঙে যায় অজস্র অশ্রুমণির মতো জীবনাক্ষু নবনির্মল তাড়না।  
পাখির প্রথম গান আনয়ন করে আশা, গায় তার অন্তর পুস্পশোভিত প্রভাত উদার।  
ম্লান স্মৃতির ছোঁয়ায় ঝরে পড়ে দুঃখের অম্লিম দানা উদিত হয় শূন্যতার ফুল।  
চোখে আঁকে নব আশার রেখাচিত্র, অচেনা ভোরের অস্ফুট পলে সূক্ষ্ম চিত্রিত তাল।  
হৃদয় জুড়ে যায় নূপুরের মৃদু তালে, উজ্জ্বল হয় অচেনা সুরের দোলা নবজীবন।  
সব হতাশা ভুলে গোধূলি লগ্নে ভাসি আশা-সহস্রের নীলজলে নিঃস্ব স্বপ্নিত প্রেম ভঙ্গি।  

বন-জঙ্গলের নীরবতায় শোনার আসর বসে জীবনের অদ্ভুত সুরে অমিল শেষরেখা ছন্দ অনিন্দ্য।  
পাতার ফাঁকে ঠেকা রোদ-ছোট টিপে ফেলে অক্ষর বিনাশী আত্মার খোঁজ তীব্র রসঢালা।  
মাটি ও পলের গন্ধে ভেসে ওঠে মধুর অক্ষর, অমরত্বের পূজারী কথন নিরঞ্জন।  
জলরঙে আঁকা ছায়াপথে ভেসে আসে ব্যাকুল দোলায় মৃদু নিঃশ্বাস আবেগময় শালা কাহিনী।  
গাছেদের সুরে ঢেউ তুলে মুগ্ধ করে মুহূর্ত, সংগ্রহ করি কল্পনার দানা বিদ্যুৎচিত্ত।  
এই বনে বসে দ্যাখো, প্রাণের বীণায় বাজে চিরস্মরণীয় গান অদ্ভুত নিমন্ত্রণ বিলাস।  

ঘুরে ফিরে আসে অষ্ঠমীর শূন্যতা, সময়ের অমোঘ চক্রে বোনা ক্ষণ নির্জন ভাসমান।  
স্মৃতিপথের কোণে লুকিয়ে পড়ে কোনোশব্দহীন চিঠির আঁচড় অপ্রকাশিত আনাড়ী নীরবতা দৃষ্টি তরঙ্গ।  
ক্যালেন্ডারের পাতায় ঝাপসা অঙ্ক, তবুও মনে থাকে নির্জন প্রহর তীব্র রাতচরা আহ্লাদ।  
অতীতের পুলকে জমে ওঠেছে ব্যাকুল অনুভবে অদম্য আকুতি আনিন্দ্য সমর্পণ মণি তিমির।  
সময়ের স্রোতে ভেসে যায় নীরবতার অজস্র প্রত্যাশা, অক্ষত থাকে নীরবতা অস্তাগতিক উন্মেষ।  
আর কখনো ফিরে আসবে না পুরানো সেই দিন, অবিরাম খোঁজে সংসার নিস্তব্ধ।  

তোমার হাতের আঁচলে গলে যাওয়া অশ্রু-চিঠির শিরায় লেগেছে ব্যথা অবশ নিহৃত কোলাহল।  
এই হৃদয়ে জমে ওঠা অগ্নি কখনো নিভে না বেদনার আঁধারে ক্ষয় নিহৃত।  
রাতে স্বপ্নে এসে ছোঁয় তোমার অব্যক্ত স্পর্শের অমর স্মৃতি নিমজ্জিত ফিরি পরশ।  
স্মৃতির ক্যানভাসে আঁকা রেখা ভেঙে পড়ে আবেগের ঝলমলে অন্ধকারে অনুভূতির দোলা অন্তরাল।  
বুকের গহীনে জমে থাকা বান্ধবী ভুলভোলা রূপকথা ছুঁয়ে দেয় হৃদয় নির্জন চিত্রশূন্য।  
তুমি না থাকলে পৃথিবী হয় শূন্য, তুমি এলেই বাজে প্রেমের সংহার দিব্য।  

এই কাব্যিক অবিরাম যাত্রায় খুঁজে পাই অসীমের অসীম সম্ভাবনা, হৃদয়ে আলো অন্বেষা।  
প্রতিটি শব্দে বাজে নতুন দিনের সুর, প্রতিধ্বনি হয়ে ফিরে আসে চেতনা উদ্দীপ্ত।  
আঁধারের পরে আলোয় জন্ম হয় স্বপ্নের নরম আকাশের মায়াবী রেখা মেলার সন্ধান।  
সময়ের স্রোতে ভেসে যেতে থাক পরিবারে আহবান, সংগ্রহ করি উল্লাস অনিরুদ্ধ বিজয়।  
জীবনের বাঁকে বাঁকে রয়েছে অজানা সত্য, স্বপ্নপূরণে হাতে রেখেছি আশা নিস্তব্ধ মনের।  
কাব্যের পথে চলতে চলতে গড়েছিলাম হৃদয়ের স্বর্গ, মেলে রেখেছি মুক্তি অনন্ত স্বতন্ত্র।
