আমার মাটিতে গেঁথে আছে রক্তের চিহ্ন নিরন্তর জাগ্রত  
সাহসের কথা বলে প্রতিটি ছায়া সোনালি রৌদ্রের গান উজ্জ্বল আলোর  
তর্বরীণী তরঙ্গমালায় ভাসে বীরের কথা, মাতৃভাষার মুক্তিকবিতার অনুরাগে বর্ণাঢ্য চিত্র  
বুকের ভিতরকার গূঢ়স্বরে বাজে দেশপ্রেমের অনাগত আহ্বান অদম্য একনিষ্ঠতায় অবিরাম  

নদীর বুকচিরে গর্জন করে আছে অস্তিত্বের প্রশ্নের নিঃশব্দ ডাক মানবতার  
সোনার সমাহারে মিশে আছে মুক্তির বহ্নিমালার অনলাইন প্রতিধ্বনি দীপ্তিময় সুর  
ভোরের কিরণে সোনালি আঁচলে লেখা আছে বাঁশিমুখর জয়ের অম্লান প্রতিজ্ঞা  
হাজার বছরের নিঃশব্দ প্রতীক্ষায় জেগে ওঠে অমোঘ বীরত্বের গল্পের রচনা  
কারাগারের অশ্রুতে মােসায় আছে প্রতিফলন বীরের নীরব অটল সাহসের দীপ  
আমি ভরসা রাখি মাটির কণিকার শক্তিতে চিরঞ্জীবী দেশপ্রেমে অদম্য আকাশে  
সংগ্রামের লিপিতে লেখা আছে বীরের অটল সংকল্পের অমোঘ সুর অনিশ্চিত  
সন্ধ্যার বসনভাজে বাজে ত্রিপুরার সঙ্গীতে মাতৃভাষার প্রফুল্ল সংগীতকণা খোদার স্নিগ্ধ  

মেঘলা আকাশে ঝড়ের গর্জনে লুকিয়ে আছে শহীদদের নীরব অশ্রুধারা অম্লান  
শিশুদের কণ্ঠে ভাসে মুক্তির স্বপ্নের রংধনুর উচ্ছ্বাস অমোঘ আশীর্বাদ অচঞ্চল  
ধানের শাখায় বাজে পদ্মর শব্দধ্বনি নারীশক্তির গরিমা সঙ্গীতের সর্বোচ্চ আঁচে  
দিনময় স্মৃতিগুলোতে গাঁথা আছে দেশপ্রেমের অনন্ত পালকাবিশ্ব অমোঘ পরম চিন্তা  
আমি বাঁধি রাখি বুকের অগ্নিপুঞ্জে ধাতুর শক্তিকে দেশজননের উথ্থান অম্লান  
সংগ্রামের লিপিতে লেখা আছে বীরের অটল সংকল্পের অমোঘ সুর অনিশ্চিত  
সন্ধ্যার বসনভাজে বাজে ত্রিপুরার সঙ্গীতে মাতৃভাষার প্রফুল্ল সংগীতকণা খোদার স্নিগ্ধ  
মাতৃমাটির গন্ধে মিশে আছে অমোঘ দেশপ্রেমের প্রার্থনা অনাবিল চেতনা অনন্ত  

পাহাড়ের গোপন বুকে পড়ে আছে অমল সাহসের ধ্বজা উড়ন্ত অগ্নি  
রাবণের ফুঁসে ওঠা স্রোতে লুকানো আছে বীরের অটল সঙ্কল্পের গান  
বৃষ্টির ছোঁয়ায় জেগে ওঠে শব্দের গুচ্ছে শুদ্ধ মানুষের মুক্তির দ্যুতি  
প্রত্যয়ের প্রহরায় বাজে অগ্রজ ঝংকারের অগ্নিস্বরে অমল আবেগ অনুগুঞ্জ চিরন্তন  
দিনের শেষেঠে ভাসে সূর্যাস্তের তিলকায় দেশের অম্লান প্রাচীরের আলো ছত্রে  
গ্রামে শহরে মিশে আছে প্রতিটি প্রহরে দেশের হৃদস্পন্দন অমোঘ অনন্ত  
আমি বাঁধি রাখি কণ্ঠের বাঁশিমুখে অম্লান প্রেমের শূন্যধ্বনি চাতুর্য অদম্য  
দেশপ্রেমকে মনে তুলে ধরে রাখি চিরকাল অমল শুভ্রতা স্নিগ্ধতা অনিশ্চিত  

মুক্তির বারুদে ভাসে শতদলীয়া বাণী অম্লান প্রত্যয়ের তরঙ্গ গর্জন চিরন্তন  
প্রত্যেক পদক্ষেপে বাজে পূর্বসূরীর কণ্ঠস্বরের অমোঘ স্বপ্নালাপ স্বর্ণাভ আলোকা সুর  
স্বদেশের অলিতে গলিতে লুকানো আছে বীরদের অশ্রুধারা নিলম্বিত স্বপ্ন আবির্ভাব  
অরণ্যের নীরবতার মধ্যেই শোনা যায় বাঙালীর অমল স্বদেশভক্তি অমোঘ সুর  
নদী-খাল ছুতে চায় মাতৃ মায়ের হৃদস্পন্দন অম্লান বাণীকণা মুক্তির গান সুখানুভূতি  
ব্যস্ততম সুদিনগুলোয় ভুলিনি বীরবাহুদের অম্লান অবদান অনন্ত গৌরবগাথা অজস্র স্মৃতি  
আমি বাঁধি রাখি মমতার আঁচলে আবদ্ধ দেশভক্তির অটল প্রেমদেশ স্বপ্ন  
চিত্কার করে বিবর্সন বাজে অমল প্রতিজ্ঞার উপজীব্য অণুর গভীরে দেশপ্রেম অনাধিকার  

মুক্তিযুদ্ধের কালোদিনগুলোয় জড়িয়ে আছে অসীম সাহসের স্নিগ্ধ দীপংকর বাণী চিরন্তন  
শহীদনামারায় ঝলমল করছে অমলিন দেশের হৃদয়জ্বালা অদম্য উদ্দীপনা অনিবার্য স্ন্যাপশট  
পিতৃহীন বালকের তুমুল ক্ষোভে বাজে দেশপ্রেমের গর্জন অগ্রাহ্য সীমাহীন উদ্ভাসিত  
কৃষকের কর্ণধারায় বাজে শস্যের সোনালি প্রতিশ্রুতি শোষণহীন স্বদেশের গান উপত্যকা  
রাতের নীরবতায় কৃষ্ণচূড়ার মাঝে দ্যুতি জ্বলে শহীদদের অমল স্মারক ছবি  
প্রত্যয়ী হৃদয়ে মিশে আছে দেশের অগ্রগতির অনাবিল প্রেম অক্ষয় অবিস্মরণীয়  
আমি লিখি রাখি কাগজে রাখা অক্ষরে অমল দেশপ্রেমের গণপাঠ চিরায়ত  
হৃদয়ের শেষকাশে বাজে প্রতিভা অসামান্য সাফল্যের অমল দেশপ্রেম আহ্বান অনবিরাম
